id,name,price,rating,review_count,url,transactions,is_closed,address1,address2,address3,city,zip_code,country,state,display_address,category_1_type,category_1_title,category_2_type,category_2_title,category_3_type,category_3_title
09QFIGF-IOCSSJhdFZ5xAA,Stick Talk Cajun Hibachi,$$$,3.7,35,https://www.yelp.com/biz/stick-talk-cajun-hibachi-houston-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,502 Elgin St,,,Houston,77006,US,TX,"502 Elgin St, Houston, TX 77006",cajun,Cajun/Creole,japanese,Japanese,foodtrucks,Food Trucks
_xkd2POHr8wK2kbSGHywzA,Kiko Sushi Ramen,$$,4.4,146,https://www.yelp.com/biz/kiko-sushi-ramen-jacksonville-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,7111 Bonneval Rd,Ste 2,,Jacksonville,32256,US,FL,"7111 Bonneval Rd, Ste 2, Jacksonville, FL 32256",ramen,Ramen,sushi,Sushi Bars,bubbletea,Bubble Tea
10zu8EQg2hDIwGZ060_S_A,Sake House 2,$$,3.9,201,https://www.yelp.com/biz/sake-house-2-jacksonville?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,1478 Riverplace Blvd,,,Jacksonville,32207,US,FL,"1478 Riverplace Blvd, Jacksonville, FL 32207",sushi,Sushi Bars,japanese,Japanese,,
aDW1VRaLQvhAv1n5LARSlA,Indochine,$$,3.9,434,https://www.yelp.com/biz/indochine-jacksonville?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,21 E Adams St,Ste 200,,Jacksonville,32202,US,FL,"21 E Adams St, Ste 200, Jacksonville, FL 32202",thai,Thai,vietnamese,Vietnamese,japanese,Japanese
7MQALJWCbugRHv6iYnXCAA,Fusion Sushi,$$,4.2,104,https://www.yelp.com/biz/fusion-sushi-jacksonville?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,1550 University Blvd W,,,Jacksonville,32217,US,FL,"1550 University Blvd W, Jacksonville, FL 32217",sushi,Sushi Bars,japanese,Japanese,asianfusion,Asian Fusion
goQG3BehAEkb5q_lPdM5kQ,Fuji Sushi,$$,3.6,244,https://www.yelp.com/biz/fuji-sushi-jacksonville-6?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,1950 San Marco Blvd,Ste 1,,Jacksonville,32207,US,FL,"1950 San Marco Blvd, Ste 1, Jacksonville, FL 32207",sushi,Sushi Bars,japanese,Japanese,asianfusion,Asian Fusion
B6RteoAHTvZaDyzImYgFkg,Kazu Sushi Burrito,$$,4.2,89,https://www.yelp.com/biz/kazu-sushi-burrito-jacksonville-2?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,117 West Adams St,,,Jacksonville,32202,US,FL,"117 West Adams St, Jacksonville, FL 32202",japanese,Japanese,poke,Poke,hawaiian,Hawaiian
iMApB1oQM2kKBYeJLj-lUQ,Sushi Factory,$$,3.6,167,https://www.yelp.com/biz/sushi-factory-jacksonville?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,7159 Philips Hwy,Ste 3,,Jacksonville,32256,US,FL,"7159 Philips Hwy, Ste 3, Jacksonville, FL 32256",sushi,Sushi Bars,japanese,Japanese,,
DA9yfpM5cFqfFyq9BRRGLQ,Sakkio Japan,$,0.0,0,https://www.yelp.com/biz/sakkio-japan-jacksonville?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,[],False,2 Independent Dr,Ste 211,The Jacksonville Landing,Jacksonville,32202,US,FL,"2 Independent Dr, Ste 211, The Jacksonville Landing, Jacksonville, FL 32202",japanese,Japanese,asianfusion,Asian Fusion,,
HlB6kVtJwVjZGKrBmULk0A,Tiger + Lily,$$,4.1,437,https://www.yelp.com/biz/tiger-lily-columbus?adjust_creative=yY1XG8UUKhTzj-Zcvw2B5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yY1XG8UUKhTzj-Zcvw2B5A,"['delivery', 'pickup']",False,19 E Gay St,,,Columbus,43215,US,OH,"19 E Gay St, Columbus, OH 43215",asianfusion,Asian Fusion,japanese,Japanese,chinese,Chinese
